genre,description
 romance ," Is it possible to experience total alienation in a country full of people who look like you? Lee Young Ho (Jeong Eun Woo) is a youg man who is from a high-class family in North Korea, but he crosses over to South Korea to complete a ""mission."" When he gets into a car accident, he finds that he is stuck living in this new country. Can he navigate his new life of alienation in the South? ""Stranger"" is a 2013 South Korean drama."
 horror ," ""Grindcore,"" is the show that dispenses with all the ""boring"" parts of classic horror movies, like ""plot"" and ""character development"", and skips right to the good parts like bloody violence, gore, and gratuitous sex! This installment celebrates the Troma Films cult classic ""The Toxic Avenger""."
 romance ," A Little Piece of Heaven tells a story of love, friendship, and solidarity, aspects of life that allows us to live with dignity even at the most difficult of times. Set within the walls of a Communist prison of the 1950s, a tale unfolds of a young couples' fragile love. An angry young man Lubos ('Jakub Doubrava' (qv)) always felt defiance toward everything around him, and eventually this trait lands him in court. The verdict is clear and the punishment long and hard. But even in prison Lubos is unable to tame his love of jazz or the eternally blazing flame of rebellion he carries inside. There is no place on earth where love cannot grow. Lubos meets Dana ('Tatiana Pauhofová' (qv)) in prison. Out of solidarity and support, their fellow prisoners hatch a small rebellion to help them fulfill their love - a love which has appeared in the wrong place at the wrong time."
 horror ," Socially awkward middle-aged misfit Victor resides in a rundown house in a remote rural region. Living in tormented solitude with his pet rat Frankenstein as his only friend, Victor spends all day watching old horror movies on television. Driven over the edge by his woeful lonesome plight, Victor decides to build himself a female companion. But things go awry when Victor's new gal pal Mary takes an immediate vehement disliking to him."
 horror ," In 1896 Chicago, serial killer Heram Webster Mudgett was hanged and buried in the Englewood neighborhood where he lived and killed. 110 years later, a local reporter investigates a series of murders that are strikingly similar to those that terrorized the neighborhood earlier. Is someone playing a sick game, or is Mudgett acting from beyond the grave?"
 romance ," In a little rural town in Paraguay lives Virgilia, a young street *chipa vendor who is in love with Walter, her closest childhood friend but Virgilia fears she will loose her friend if she tells him how she really feels. *Chipa: A type of small, baked, cheese-flavored rolls, a popular snack and breakfast food in Paraguay. It is quite cheap and often sold from streetside stands and on buses by vendors carrying a large basket with the warm chipa wrapped in a cloth."
 horror , Evil nuclear power plant manager is dumping nuclear waste in a forest. People start getting killed. Drunken PhD in power plant starts tracking radiation in the forest. More people killed. Newspaper reporter and local boy and girl start investigating. Still more people killed. Townspeople try to remove nuclear waste. Yet more people killed. EPA cleans up the mess with bulldozers.
 horror ," The woods around Traunton Riverbend Campground hold many secrets. The rusted cars and abandoned campsites tell stories of those who trespassed onto the campground and never came out. When Specter (Marshall White) convinces his friend Alexis (Suki Peters) to join his new film making friend Dean (Jaxon Stanford) and his crew on the set of the latest horror film. No one suspects the true horror that awaits them. (Ari Lehman) best known to horror fans as Jason from (Friday the 13th), appears as Delbert Eaton the neighbor farmer who tries to warn the young film makers."
 romance ," Continuing the story of Beijing Meets Seattle I from 2013, the new movie has the couple fall in love again. The theme of the story looks at family, life and love in a foreign country with scenes, story lines and occurrences in the four corners of the world. This story evolves between two total strangers, a PR who working at casino in Macau name Jiao (Tang Wei) and a property agent in LA named Daniel (Xu XiuBo). Due to a book, they had started exchanging letters. Both of them are feeling emptiness in their own space. As times passing by, they had each other as their imaginary friends, giving advices, comforting each other and have a strong urge to meet when they had stop receiving reply from each others. The only clue is the title of the book. Will they meet each other ?"
 horror ," Cédric Dupuis, a fledgling independent filmmaker, has set out to make the most terrifying horror film of all time. But shooting without any budget to speak of and a cast of his friends, Cédric soon realizes the frustration of indie film-making. The only way for Cédric to get the realism he wants is to actually murder his cast on camera. This is his documentary of the events that unfolded during the making of his opus. One of the most disturbing films of recent years with a sickening dose jet-black humor."
 horror ," Gruesome murders of South African farmers spur reports of a possible ""cryptid"" - a creature previously discovered by science. The worldwide news coverage of the gruesome murder attracts an international team of scientists to the remote area which is considered by some to be the ""cradle of civilization""."
 romance ," Intimity is a romantic film of seven interrelated love stories where the couples in love give the viewer an insight into their intimate private lives at the moment when they are solving specific problems typical for their age and personalities. A teenage couple experiences first romantic love; young artists try to cope with success intervening with their private lives; self-destructive bohemian guy meets religious pure person; cheating husband has to make fateful decision; lazy cynic unexpectedly falls in love; self-centered elderly people with unsuccessful past try to have better future together; love also intervenes in the life of a high-end call girl. All stories come to a conclusion that can bring hope for the future. In essence, these seven stories are one big story of love."
 horror ," Jade, her sister Ophelia, and brother Bryce, are the last three vampires in the world. They come into this small town to figure out a plan to restore their bloodline and raise an army of vampires. Jade says she needs someone with pure and innocent blood to restore balance to the family and for Jade to take over the world. Bryce finds a young girl named Brie, who is exactly what Jade wants. The one thing standing in the way of Jade's plan, is the group of vampire hunters that just moved in next to Brie's house. The Hunters are lead by Archer, and is followed by Karver, Riley, and Ash. Their lone goal is to protect Brie from Jade and her siblings and finally put an end to the vampires."
 romance ," German Rhineland wine estate heir Andreas Landsberg has left that business to become a physician and spend several months working in Udaipur, India, where maharajah style luxury still contrast with abject poverty. Now he invites his widowed mother Anna. She hoped for his return but gets invited for his impending wedding with Indian upper class modernist colleague Savita Singh. Andreas's friend Ferdinand Weißenberger, an Austrian her age, takes to her while she wrestles with the shock. And Savita's family wanted to marry her off to a ruthless rich man, who won't give her up."
 romance ," A girl who likes playing different roles in the real life cheated a man for several times, however, the man falls in love with her. For the reason of some misunderstanding, the girl marries another man without considering. Her mean husband tortures her and cheats her father to get the family fortune, leaving the girl full of regret of missing the true love."
 romance ," Leading lawyer and public prosecutor, Raghunath Tyagi, lives an upper middle- class life in India with his only son, Akash Manmohan. Raghunath would like his son to take an interest in law or a business, but all Akash is interested in is poems. One day Akash overhears one of his poems being sung by a woman. He is attracted to this woman, whose name is Shabnam, and would like to marry her. The only problem is his dad, who is strongly opposed to his son marrying a woman of questionable character and means - a prostitute. But Akash is adamant, leaves his dad's house and continues his affair with Shabnam. Shabnam wants to break free from the brothel madame, Aminabai, and does so, only to find that Aminabai has sold her to a man named Nawab for Rs.20,000/-. Angered at Aminabai, Shabnam goes to confront her, and as a result Amina is killed, and Shabnam is arrested and charged with first degree murder - the punishment for which, under Section 302 of the Indian Pencal Code is Life Imprisonment or Death. And it is the death sentence that the Public Prosecutor Tyagi would like to see carried out on Shabnam, who he considers a problem for himself and his son."
 horror ," Troubled detective Nick Ferguson has a near fatal run-in with vicious serial killer Teddy, who's been terrorizing Los Angeles by murdering young women and removing their organs. After receiving a new heart and recovering in the hospital, Ferguson continues his obsessive search for Teddy. However, Ferguson has now acquired psychic abilities that enable him to have horrific visions of Teddy's victims as they're being tormented and murdered. A psychotic man hunts down young women, then kill them and sell their organs on the black market. Detective Nick Stevens has been chasing this killer for years and has to overcome this personal demons in order to conquer this serial killer."
 horror ," Following the tragic death of her parents Fawn Harriman discovers she has inherited a theatre in the town of Amityville. She, along with 3 friends, decides to spend the weekend there looking the place over. Meanwhile one of her High School teachers begins an investigation into the village's past and makes a connection with something that goes back beyond recorded history."
 romance , In reverse school ties plot mei Lin is a Indonesian student who comes to a Jewish boarding school but does not tell anyone that she's Asian no one in the school realizes that she's Asian despite the fact that she looks Asian when the school finds out that she actually is in fact Asian there are a lot of prejudice stereotypes that go around and mei lin is unable to find friends in her Jewish boarding school in the end mei Lin and her peers learns acceptance and are able to find that prejudiced goes beyond a first glance.
 romance ," The Blue Danube is a 1932 British romance film directed by Herbert Wilcox and starring Brigitte Helm, Joseph Schildkraut and Desmond Jeans. Its plot, based on a short story by Doris Zinkeisen, concerns a Hungarian gypsy who leaves his girlfriend for a countess, but soon begins to suffer heartache. The film was made in both English and German-language versions."
 romance ," A couple is undergoing the seven-year itch and lack of intimacy and closely sharing.Both of them feel lonely, they can not understand each other.Until one day, the wife decide to make a change to get their great pasted time back, will they be happy again."
 horror , Descend into dark and disquieting horror that will test your psychological limits. Explore a nightmarish monochromatic city where sinister creatures lurk around every corner. Wrestle with life-or-death choices and your own morality as you uncover the mystery of the woman in yellow.
 horror ," Set at the Tom Savini Special Make-up Effects School and in and around the Monongahela Valley steel town of Monessen, Pennsylvania, the series is the story of a young student who becomes involved with a sequence of murders which he takes to be the work of a sinister neighbor who suddenly appears on the scene. The story follows the student as he pursues the supposed killer and tries to unravel the truth of the situation. It is a dark tale tinged with irony."
 romance ," Globetrotting architect, Tim, and savvy corporate communications manager, May, have only 1 week left to their wedding - and the rest of their lives together. But in these last crucial seven days of single-hood, they learn more about each other than they've learned in the past 12 years of their relationship. Will this knowledge tear their marriage apart - or will it bond them tighter than before? In the mean time, aspiring photographer Frank secretly carries a torch for the maid of honor - except that she's older, more cynical, and more successful than Frank is. Can Helen, a high-flying chief financial officer, fulfill her secret childhood dream of finding true love? And will Frank gather up the courage to finally reveal his true feelings for Helen? May's parents, Richard and Sally, have their own issues to settle when Richard's old flame, Anita, returns - threatening to destroy a 35-year marriage. Steadfast love or a passionate fling - which will Richard choose? As the wedding looms, these three couples discover untold feelings for each other. Will there be a wedding? Will true love prevail? Or will any of the couples survive once the storm blows over? Only these Seven Days will tell."
 horror ," Bio-terrorists unleash a devastating plague across America and the chemicals from the bomb kill millions. Days after the attacks, the recently dead begin to rise and devour human flesh. Sam and Kat seek refuge outside of the city in an abandoned house with eight others. Rations are running low and people are dying. Sam and Kat are in over their heads. Do they fight to survive out in the world against zombies or stay and fight the monsters within?"
 horror ," On air news reporter Robin Taylor several video tapes depicting the last living moments of a number of unidentified females lives she thinks she may have gotten her BIG BREAK. By enlisting the help of some film making friends, Robin hopes to both assist the police in catching the killer and find the fame she desperately seeks. Will she help catch the killer before the killer catchers her?"
 horror ," Emily Schultz's beautifully realized novel is a mix of satire, thriller, and serious literary work. With biting satiric wit, The Blondes is at once an examination of the complex relationships between women and a merciless but giddily enjoyable portrait of what happens in a world where beauty is - literally - deadly."
 horror ," A troubled family encounters additional problems when the ghost of a murderer moves in with them, setting off a nightmarish journey into madness."
 horror ," The New TV show, UK Ghost Hunts. A UK Paranormal team, take you and the public on an unforgettable journey into the paranormal. A truly unique ghost hunting TV series where you the public are the stars of the show. Visit and learn about the most haunted buildings in United kingdom and learn there reports of paranormal activity."
 horror ," Standard story of the Phantom does have one major variation - The phantom is not a disfigured individual, but rather is an unwashed orphan abandoned in the sewers under the Paris Opera & raised by rats. The Phantom invokes death upon anyone who dares harm his beloved rats. In fact, The Phantom's nemesis is the chief exterminator who develops a rat-catching machine. In Paris 1877, rats save a baby from death and raise him in the underground of the Opera de Paris. This child becomes The Phantom of the Opera, a half-human half-animal breed, who falls in love with Christine Daaé, an opera singer just beginning her career. He fights for her love against the aristocratic Baron Raoul De Chagny, though Christine loves them both equally."
 horror ," From the director of Babysitter Massacre and Haunted House on Sorority Row comes a shocking new film critics are calling ""fresh and original"" and ""what horror audiences want"" In his final night as a radio host, shock jock Amos Satan spins four spine-tingling tales of terror in this anthology of urban legends inspired by Creepshow and Tales from the Crypt. Scarewaves. Listen if you dare."
 horror ," When 16-year-old Mariam's little brother Vince falls ill on her watch, she calls their family doctor to make a house call. But when the doctor ends up dead, nothing prepares the children for the night of terror that follows. Adapted for the screen by Shannon Casto from the novella by Ty Schwamberger, directed by Michelle Henderson, and starring Texas horror great Parrish Randall, James McCreight, Bill DuBois, Joe Grisaffi, and introducing Rachel Paul and Vincent Galyean."
 romance ," An intimately observed love story, LOVE LIFE carefully examines the sexually secretive marriage of Joe and Mary Hahn. When a passionate extra-marital encounter leaves Joe with an emotional connection he can't break - and when a beautiful friend from Mary's college years resurfaces with her own agenda, the marriage of convenience begins to crack, revealing the truth, strength and hope buried within all of them."
 romance ," College graduate Claire McIntyre plans to conquer the business world, while her dropout boyfriend Johnny takes his swing band to Paris. Eventually, Claire catches the eye (in more ways than one) of ad executive Robert Clayton. Between her ability and her legs, she soon rises in the hierarchy. But the unexpected return of Johnny brings on an era of romantic misunderstandings. Will Clayton on one side and an obliging blonde on the other succeed in parting Claire and Johnny?"
 horror ," Sakura Kurata (Misato Nonaka) and Kosuke Tsukamoto (Taiyo Ayukawa) are members of the movie club at their high school. They then organize a movie shoot which which revolves around the urban legend and occult game ""hide-and-seek alone"" (""hitori kakurenbo""). The game involves a ritual with a doll to contact the dead. The students persuade a teacher to allow them to shoot the movie at midnight in the school. The students begin their film, but they soon experience a lot more than they expected."
 horror ," A young girl signs up for a Halloween walking trail that claims to blur the line between real and fabricated, but when her fellow patrons start falling victim to the attraction one by one, she begins to question if there is any fiction involved at all.."
 romance ," ""The Sea is not Blue"" shows us that change is a challenge, a long and exciting journey. A journey through the emotions, the pleasant waters of the Mediterranean Sea on Majorca. There Aurel Marco will cross the salty waters of a sea that is not blue. With a simple, straightforward language, you will experience a romantic, sensual and tragic story of a protagonist who, like you, is not perfect."
 horror ," Four twentysomethings find themselves stuck on a haunted antique bed where leaving means suffering a gruesome death. Plagued with frightening hallucinations, they must figure out the bed's secrets before they are ultimately picked off one by one."
 romance ," Devastated with grief after the mysterious disappearance of her magician lover, Louise is sent to a psychiatric asylum. Nine months later, she gives birth to Angel, a baby boy with an incredible gift: he is invisible. To protect him from the cruelty of the outside world, his mother hides his existence. Angel grows up quite normally until he meets Madeleine, a blind little girl of his age who lives nearby. They quickly become inseparable, Madeleine still unaware of Angel's invisibility. Until one day Madeleine announces something that will turn their lives upside down: she will recover her sight."
 romance ," Millet died because her boyfriend's heart transplant to another boy and his transfer came to the school where the boy - Yin Tong Yao, like all fiction hero, tall and handsome, his family is superior, handsome and cool ...... Millet did everything it could to get close to Yin Tong Yao, for his homework, running 1500 meters ...... Finally, Yin Tong Yao received millet and began with her contacts, but one day, millet suddenly found his dead boyfriend's heart did not actually migrate to Yin Tong Yao body ...... but Yin Tong Yao also found millet close to his real purpose ......"
 romance ," The story is about a girl who was abandoned by her Mom as a child. After growing up, she becomes a model who worships money and dislikes the poor. She is even willing to be kept and supported by a middle-age, rich businessman just for money. When she does a fashion show in Paris, she meets a male music student. They start a fatal relationship after a one-night stand."
 horror ," 7 nightmarish films. A brute shows a local boy hell through his haunted ax, the streets of Madison are stalked by a deranged sexual psychopath, Ed Gein is resurrected as a dentist with a penchant for extraction, the flipside of the American family screams itself to life, and an elicit drug transforms a singer into the angel of death!!! Hole in the Wall brings the nasty underbelly of life right into your home."
 horror ," Butterfleye Films presents Case #432. A new found footage film, The Preston family is troubled by Paranormal Activity and Call in a Ghost hunting group however, The Group gets more than they bargained for. As the night proceeds secrets are revealed from the family and a dangerous entity gains power and terrorizes everyone!"
 horror ," Action-packed sequel to THE EVILMAKER. A family member of the victim in part 1 tries to figure out what happened at that cabin in the woods not long ago. Before you know it, the body count begins and a supernatural being makes its presence known... A Secluded House... Unexplained Dissapearances... Kathy is a troubled psychic whose younger gothic sister, Rachel vanishes. As the search for her sister begins, Kathy is thrust into a world of darkness and sex crazed demons. All worldly barriers are shattered when the path to survival is marked with corpses and stolen souls. As insatiable evils seek to destroy Kathy, her tortured fight from within ignites her search for answers and her sister."
 romance ," From across a crowded restaurant in a busy train station, a preoccupied businessman exchanges a glance with a lovely young woman. In an instant their connection is palpable. But his hesitation sends an unintended message and he loses his chance at finally connecting with his soul mate ... or has he?"
 horror ," For people who don't believe the events of _Grave Encounters (2011)_ (qv).Grave Encounters, film student Alex Wright is out to prove them wrong. Alex is as obsessed with the first film as the 20 million people who viewed its viral trailer on YouTube. While he and his friends research the events and visit the real psychiatric hospital depicted in the original film, they find themselves face-to-face with unspeakable evil, banking on the hope that their knowledge of the original film will help them survive the sequel. This film is about a film student (Alex Wright) and his group of friends as they are producing a film about the original Grave Encounters movie. Alex believes that the first film was not real, that it was made up and that the producers used special effects. In his search to find the truth he finds out that the original people from the first movie have all either gone missing or have died. So they all head off to Canada after receiving an email from a ""source"" asking him to go to the Hospital where the first movie was filmed as they're going to ""help"" with the research. After they arrive they set up their camera's and settle in only to find that they are not the only occupants, that there is someone from the past there also. Then they all find that there's more to this place than they had ever imagined. Are the things that happened to the other film crew all real? You are about to find out. The cinema student Alex Wright researches the movie ""Grave Encounter"" In Internet and receives an anonymous e-mail to the coordinates of the Collingwood Psychiatric Hospital depicted by the team of paranormal investigators in the first movie. Alex head to the place with his friends and soon they discover evil."
 romance ," All efforts to get a partner in life by Siddhu (Sumanth Ashwin) are thwarted by Chitra (Nanditha), who he has never seen. Siddhu falls in love with a girl, who he does not realize is the same Chitra who thwarted his previous efforts to find a partner."
 romance ," The story of Miguel (Domingos Montagner), a lonely and slinky man, who after escaping a tragedy from the past, goes back home and has his life turned upside down. He finds out that, in addition to having a son with the great love of his life, he is also the father of six other children. So begins Miguel's search for his children's affection and respect, as well as his attempts to win over his true love once again."
 horror ," A trio of suspenseful horror stories, each with twisted plots and heaping' helpings of babes & blood! Two sorority sisters are jogging, then attacked by hooded figures. Just when you think you know what's happening, the story takes a shocking turn! A stunning bikini-clad woman meets a mild mannered trailer court resident at the pool. Someone is watching her, but she knows it and has plans to teach him a lesson. As the evening wears on, events unfold in shocking ways! Heartbroken Kelsey takes a house sitting job in the remote countryside. soon after the homeowners leave, strange and disturbing things start happening. Kelsey makes startling discoveries as nightmarish visions appear. Darkness falls as shadows of dread grow. Will Kelsey survive the night?"
 romance ," From the eye of the narrator-Siren comes a vision of domestic apocalypse. The connection between men and women is broken and in need of repair not replacement. Frank, married, 60's, emerges from the city streets that teem with pedestrians whose brief conversations reveal they are all in the chase for love. Frank joins the chase, too, as he pursues Reyna, a Mexican-American escort, 40's, also married. In the course of their encounter, each tries to turn the other into their mate. They fail. At dawn on Valentine's Day, Frank tells Paula, his wife of 30 years, his dream that night of a catastrophe that claimed both their lives. As they were dying he told her, in the dream: ""I'm glad it was you that I married."" Paula makes him repeat that. He does. They open to each other. In the last scene, Reyna again crosses Frank's path."
 horror ," Stefano, a young journalist, buys a used typewriter and accidentally sees that some text is still readable on the ribbon. He manages to reconstruct the story of a scientist, Paolo Zeder, who in the 1950's discovered that some types of terrain have the power to revive the dead that are buried in them. Stefano's investigations bring him in contact with a group of renegade scientists that are still making experiments to prove Zeder's theories."
 horror ," A group of college kids throw a get together and decide to pull a prank on one of the other kids in their old highschool. When the prank goes wrong, things take a turn for the worse causing this get together to turn to the worst night of their life."
 horror ," The small Mid-western town of Rockford is still haunted by the series of bizarre killings. The voluptuous, tempestuous vigilante Dr. Sylvia Trumbull is salivating revenge from the mysterious killer who has been terrorizing delectable women for years. Consequently, The Pumpkinman has her as perfect mouthwatering prey along with a few others (hot teenyboppers and sexy hookers) as the showdown begins on Halloween."
 horror , A girl gets a house by a lake when a relative is murdered. Her friends show up and start having (graphic) sex then get killed by some crazy perverts.
 romance ," Struggling theater actress Taylor Murdoch finally gets her big break on London's West End. The part calls for her to be in peak physical condition. However, the day after landing the role, she has a positive pregnancy test. With rehearsals beginning in less than two weeks, she decides to have an abortion. Towards the end of her nine month tour, she tells her boyfriend Anthony about the abortion and the recurring nightmare that haunts her. Anthony invites her to Easter Island so they can rekindle their relationship. While the Island works its magic on both of them, he shares his views about life, family, meditation, and the unborn souls that he calls the Astronomy Walkers. With Anthony's help, can Taylor overcome her nightmare and mystically connect with the soul of her unborn child?"
 romance ," Zhenya, simple and extremely good girl, living in a hostel, and works as a trolley bus driver. The main thing in life for her - to help people. She replaces colleagues at work, free lodges in her former teacher and gives hardly known girl her unique dress. Three friends make fun of her behind her back and are confident that her personal life does not shine. But Zhenya's inexhaustible optimism continues to believe that her trolley bus is traveling on the happy path. And once in her life comes a miracle..."
 horror ," Mary witnesses the brutal suicide of her Father. His death unleashes the savage forces of demonic possession in his daughter. The End of Days is upon the world, famine, drought, looting and chaos is ripping the world apart and the Catholic Church is trying to save an innocent soul from the ravages of satanic possession. Wave after wave of holy men are sent to confront the possessed but what is the Holy Church actually doing? The City on Seven Hills is working on the Second Coming of Christ but before He comes back - the Antichrist must rule for seven years. The Song of Solomon's true nature is to unleash an evil the world has been waiting for since the beginning of time."
 horror ," Years after a young child named Charlie died, a new family moves into his old home. Dumbfounded on the events that happened prior, Mikey and Michelle begins to hear rumors that their house is haunted and decides to play a game called ( 6 Pencils) to communicate with Charlie. After the first attempt weird occurrences begin to happen. Charlie wants to live again and will stop at nothing to come back."
 romance ," Annie has life figured out. After high school, she will go off to college with her soon-to-be fiancé Jackson, the star QB, have babies and live happily ever after. But when Jackson dies in a football game, her world crashes. When she realizes he was unfaithful and didn't share the same dreams of a future, Annie flies to Africa to help a poverty-stricken village build shelters. There, Annie will find Grace and the true meaning of life."
 romance ," ""For the Love of You,"" an African-American love film, explores the dynamics of a rocky relationship between Tai, a career driven woman, and Cordell, her aspiring music artist boyfriend of three years. After years of supporting his aspirations and demanding his affection, her hope for matrimonial bliss becomes a nightmare. Their lives come to a crossroad when the ultimate betrayal is revealed. Amidst obstacles of a broken heart, Tai is comforted by the encouraging words of her assistant and best friend, Cherie, who urges her to leave her grief with Cordell and find new love. A chance meeting at a get-together proves that love cannot be found - it simply arrives. Tai meets Brandon - a hopeless romantic looking to complete his life with the woman of his dreams. As the two develop a relationship, Tai struggles to believe that love could be found the second time around."
 romance ," Recently released from prison, Min-kyu works as an electrician climbing telephone poles scattered in the dismal Changshin-dong. He notices one day that there is an intruder in his private world. Da-hye has started posting missing person leaflets. Min-kyu begins to remove them one by one. But to his consternation, Da-hye keeps replacing the ones he has removed. Da-hye's only goal in life is to find her missing brother. She lives hand-to-mouth but that is the least of her problems. She is also slowly losing her sight. Min-kyu and Da-hye find themselves drawn to one another by their pain and loneliness to somehow find a way to heal each other."
 romance ," After her wedding plans fall trough, Graz (Austria) luxury restaurant manager Ena finds old, unanswered letters from her Croatian grandmother Carmela, whom mother kept her apart from, and uses her three weeks 'honeymoon' to visit her native Istrian port Rovinj. There she finds grandma runs a hopelessly old-fashioned restaurant and accepts to stand in when Carmela breaks a leg, to th crone's daughter Tereza's fury. Meanwhile Ena slowly admits falling in love with handsome fisherman Matej, who helps keeping the near-bankrupt restaurant afloat while aspiring clam cultivation."
 romance ," Katherine Mitchell (Linda Thorson), a widowed yet vibrant senior, wasn't looking for love a second time - not at her age, and certainly not with grumpy Isaac Shapiro (Stuart Margolin). Despite the nosey bunch of seniors in the residence where Katherine convalesces after breaking her hip, she and Isaac warm to each other over their shared love of music. Against unforeseen obstacles, their love blooms and together they set out to fulfill Katherine's lifelong dream of going to the opera in Milan."
 romance ," In Moscow from a distant village comes a rustic Russian woman. The first person she meets is a surprisingly intelligent cab driver. They meet by chance and do not even go out on a date, yet the hours they spend together are enough for her to take a fresh look at her life."
 romance ," A tale of a suave, rich and a successful young business man Kamal who wants to break all hectic shackles around him to go on a vacation to Paris, France. In a boy meets girl story, destiny brings Kayal, an Indian girl brought up in France, into his life. Rajasekhar, Kayal's father, runs a detective agency. She is shocked when she comes to know from reading his father's case that a client is currently following Kamal, only to kill him. Kayal decides to save Kamal's life. The saviour act turns into love between them. Kamal leaves France and Kayal is shattered. After almost a year, they meet again and things take a turn."
 romance ," Shy architect Takemoto, pensive ceramics student Ayumi, hardworking senior Mayama, and super-senior artistic madman Morita are four students at an art college in Japan, each taught by Professor Hanamoto. When artistic prodigy Hagumi, the daughter of Hanamoto's cousin, arrives at the school, Takemoto falls for her immediately. However, Professor Hanamoto suspects that Hagumi may open her heart to Morita faster, leaving the dejected Takemoto to decide whether he should yield to Morita, or continue to fight for his affections. Meanwhile, Ayumi pursues Mayama, who looks right through her due to being obsessively in love with his boss...a much older, widowed woman."
 horror ," Three students stay after class for detention. After a while they realize they were left alone, and the doors to the school have been chained up. They find out they have a connection to one another. Each has a history bullying a student by the name of Elliot Maggin, who took his own life because of bullying. After strange events happen, they realize they are not alone. Elliot is with them."
 romance ," Stanislav - a successful and wealthy man living in a small town - can be hardly surprised by anything. He lives his lazy life in a way that corresponds to his status: beautiful woman near him, no limits for wasting money, drinking and doing lots of crazy things. Once being drunk he steals a car. After some drive the oldie is getting crashed. The car owner Elena came from Moscow to deliver lectures on ancient Slavic culture. By chance Stanislav attends one of her lectures."
 horror , A seemingly open and shut murder case shocks the country leaving the hungry media craving for more answers. Why would a father promise his family a glorious getaway to an old farmhouse only to kill his three teenage daughters and wife there so horrifically?
 horror ," Taking place from the 1940's to the 1980's, Ted Bundy goes on a cross country killing spree, murdering young girls and women. During this time, he attends college, falls in love, finds out the truth about his parentage and gets a job working at the Seattle Suicide Crisis Hotline Center, where he meets and works alongside former police officer and aspiring true crime writer, Ann Rule. Ted and Ann soon become friends. Even though Ann is a former police officer, she works alongside the task force on the unsolved missing person cases and unsolved murders, unaware that her friend Ted is responsible for the crimes. No one that knows Ted suspects he is responsible for the crimes, but when he is arrested for the first time, everyone begins to wonders if he could be responsible for the crimes."
 romance ," ""Find Love"" is the second feature from Uk writer/director Erica Dunton. It is the partly-improvised and partly-scripted story of two strangers who aren't looking for love but find it anyway. It is a twenty-four hour romance ride that truthfully captures that first feeling of falling for someone. Alexie Gilmore and Christian Camargo lead in this very real, almost documentary like, feature. They are supported by an incredible cast including Craig Sheffer, Traci Dinwiddie and Cullen Moss."
 romance ," A man and a woman are shipwrecked on a desert island. It doesn't take long before they fall in love and, figuring that they would never see civilization again, declare themselves married and eventually have a child. One day, however, the man's wife--who had been looking for him--finally finds him. Complications ensue."
 horror ," PMS COP is the story of Mary, a police officer, who after being caught on television beating a rapist, is forced into an evil Pharmaceutical Company's drug trial for a PMS inhibitor known as Corybantic. After a tragic event Mary suffers a horrific side effect, and with her new found superhuman strength, she begins to systematically take out her vengeance on everyone in her path! Will Mary fight against her inner urge to destroy or could she become the first of a new secret weapons program designed by an evil corporation?"
 romance ," You are a senior in high school along with your two best friends, Naomi Patterson and Suzu Cappini. You are also the granddaughter of Harold Anderson, the CEO and founder of Anderson Toys, a toy company sworn to give children amazing products and give a large part of their profit to charity. One day, you are called home to attend your grandfather's funeral. Afterwards, you learn that you have inherited his large estate. After deciding to move in, the moment you walk through the door of your new home, you see five injured, yet very handsome men on the lobby floor. You find out that they are Incubi, demons who consume and use sexual energy of humans to survive'. With nowhere to go, out of sympathy, you offer your home as refuge. What will happen as the Incubi get comfy? Why exactly did they come the human world? ...Will you WANT them to leave?"
 romance ," Old doc Dr. Harold Meyen is puzzled that his wealthy Hudson Valley, New York state patient Olivia Grant, diagnosed terminal, has hired nurse Madison Carter, all the way from Alaska, although there is little work. Olivia's son in law John Walker, who still mourns Sara Grant's fatal car accident, falls in love with Madison. Gradually is revealed in which ways her eventful past is relevant."
 horror ," Reverend Alexander Algernon Ford returns to England to reopen the Old Souls Church near Carfax Abbey. But, Reverend Ford turns out to be a vampire disguising himself as a minister. With the help of three green faced ghouls and a hunchback assistant, named Spool, Reverned Ford begins to make some plans for the descendants of the Ford family. Reverend Ford gives the vampire bite to his granddaughter Anna Ford and he makes Anna drug her husband Graham Ford so the green faced ghouls can suck his blood. Reverend Ford's cousin, Susan, is taken captive used as a breeder for vampire babies, while his quiet wife, Candace, is used as a private blood bank. Trouble starts when Susan's boyfriend Paul tries to set her free which leads to more complicated matters for Reverend Ford."
 romance ," The debut feature from A Chip & A Chair Films, IF YOU COULD SAY IT IN WORDS is an indelible, character-driven portrait of two very different but equally broken souls. Nelson is a painter with undiagnosed Asperger's Syndrome, struggling to complete a triptych on the theme of emotions he can only understand on an intellectual level. Sadie is a girl whose big-city dreams were dashed before she crawled home to Philadelphia, where she treads water at a job that's not her career, with a roommate who's not her friend and a bedmate who's not her lover. She is sleeping with her boss, Mark... which would come as a surprise to his wife. For Sadie and Nelson, a one-night stand turns into much more. For the first time, Nelson is overcome by the emotions that he paints. With him, Sadie is freed from the strains and pressures of day-to-day ""real life."" As the weeks go by, they come to share their secrets freely, but sharing feelings comes slower. Soon however, the jealousies and suspicions of others plant doubts in Sadie's head about the future. As Nelson becomes more immersed in his triptych, racing to capture on canvas what he cannot say in words, Sadie is pushed to finally decide in what direction she will take her life. Unapologetically romantic, savagely realistic, IF YOU COULD SAY IT IN WORDS takes a long, hard look at the price of integrity and the illogical ways of the heart."
